18486	6	6544
15364	20	1652
22098	30	1718
4606	4	684
2806	4	302
1118	52	1282
27146	70	2132
16306	26	2176
2764	0	424
10436	4	384
3372	12	610
11470	0	278
19498	46	1502
27796	116	962
6546	4	208
1002	14	1646
4604	18	472
12302	0	4792
11966	28	12556
3306	2	676
4710	0	870
8862	0	530
13100	12	2740
13662	8	170
7070	2	8736
6650	0	180
7990	0	1480
1854	140	1282
5428	0	334
15922	0	2328
3072	2	0
18734	0	12
13258	14	1472
10034	2	324
9568	0	20
14554	0	832
10124	2	1892
7676	0	368
10314	2	484
14886	12	12246
7138	0	572
29354	2	796
5358	2	2106
28956	2	9432
8692	12	1950
4368	0	3318
12486	20	1864
7128	0	1158
8860	0	332
6494	0	2666
2806	0	458
25130	10	340
3790	0	54
10484	0	892
25414	2	2262
9324	0	368
2704	2	908
15656	0	824
20726	10	1836
26386	2	828
10798	0	118
17854	6	2696
9988	6	1616
4548	0	412
19988	6	1604
7470	0	558
6246	26	720
28088	2	11462
4858	8	2310
22052	0	2286
6000	0	200
3504	4	232
23648	106	1884
6656	0	398
17444	22	5840
5436	0	228
3818	0	214
8120	0	150
18540	12	3270
5850	4	438
9584	0	982
13092	16	3004
15782	22	2322
10584	20	4150
4994	0	748
9872	8	1180
5450	40	6
7450	0	284
13134	12	2054
9752	0	322
12506	0	5780
22166	0	154
3768	0	98
15978	0	102
7826	0	284
8518	0	516
22744	44	10
4854	4	1510
4126	0	652
7578	0	458
6480	0	50
23078	2	7520
6568	0	214
4952	12	642
9162	0	564
12164	0	2134
21652	10	1528
25640	16	5330
8244	12	5352
10924	0	120
16434	0	584
11616	8	3266
9100	8	2342
2292	2	2928
22376	14	1924
10432	8	604
10638	28	6368
23776	42	2596
14782	0	16
2884	0	1012
9160	0	650
10650	14	1458
4780	0	2782
504	146	1042
11980	84	11754
11256	80	1722
10670	22	972
12704	6	3010
8826	0	260
7280	0	506
20230	6	3162
14458	8	3616
5634	0	1372
19008	252	2990
10402	0	36
10530	76	11010
25432	80	13218
4616	0	18
14124	0	26
14588	0	474
5378	0	318
13368	20	4834
3590	4	860
8928	2	12796
3932	0	148
18324	0	488
25818	2	246
23850	2	1526
10544	16	692
23558	38	22588
9378	4	526
4608	8	3760
7890	8	508
5282	0	872
9294	0	982
11000	74	9892
8098	0	124
5792	0	786
14802	0	208
4618	0	60
13950	26	594
19076	2	16230
6822	2	1970
3154	2	1486
13374	0	330
8520	0	294
20952	0	128
6318	4	372
4776	0	810
8016	0	2092
6048	0	1262
6652	4	1954
8794	0	40
23108	0	282
16766	20	2658
10000	0	446
16954	0	2668
10268	6	1720
14052	6	2000
6856	0	90
20408	30	1770
13900	0	1068
1626	48	544
6696	0	2160
9162	0	314
8312	0	286
6990	6	2506
4388	0	1236
19990	6	1160
17072	16	2014
4576	4	86
3150	40	3150
11002	40	11002
6154	26	74
4362	0	648
9032	0	1936
4742	0	464
12114	0	964
2806	4	36
23812	42	976
7546	18	2080
12108	2	484
11738	20	3830
16040	28	4630
19590	62	1944
7674	8	3762
8976	0	1368
6490	0	224
6000	4	202
6048	0	1038
22326	28	3454
6718	0	172
796	30	1346
9798	0	2178
8758	0	1092
6658	0	14948
13166	6	5520
15186	0	632
15672	4	1978
13626	2	11464
18242	14	700
8084	138	838
12992	0	1548
12166	0	32
8282	6	2672
26220	2	2918
11600	18	998
10490	8	6692
4268	0	614
15552	0	2876
4104	8	1976
4966	18	38
18524	0	86
15396	0	2572
3088	28	6030
25468	10	15286
4112	8	3100
10158	0	32
23874	2	1982
9294	0	262
11658	0	184
12588	0	214
15182	0	98
7618	0	166
25752	14	708
5466	0	148
9458	0	874
7874	0	128
4958	8	2448
16082	6	22842
25182	10	10428
7172	8	804
23338	2	1942
5740	0	698
4168	0	672
8960	8	1180
3514	0	280
18082	8	1278
10978	6	1594
12272	0	2122
5684	26	74
18006	0	434
3106	0	8
6130	0	192
6516	0	450
8626	0	902
17588	0	810
1242	34	3158
7268	0	4724
24000	2	1574
3694	0	182
3410	0	750
8292	22	2804
18806	6	12066
26736	148	19746
12158	0	302
17732	8	2072
3772	0	304
10618	20	2406
9406	8	170
7060	4	376
24330	42	976
7456	0	574
5802	4	766
11110	8	2050
25916	14	1558
9558	0	500
17330	0	1032
13450	0	1102
11250	0	2298
28686	2	602
13258	14	1128
4432	0	776
27982	98	3814
