13498	16321
15776	15641
6276	8373
28366	27817
478	665
28958	28579
5818	3887
12812	15589
27540	20267
9638	10117
18668	29413
12876	4037
10996	9205
24594	23809
28602	22513
17546	14185
28936	28553
23670	18799
29764	25361
918	631
6714	11295
1432	2267
17246	21535
11410	9563
13678	13621
5546	3381
27380	26645
19960	19811
2680	10259
23564	22853
2420	2957
11344	11537
27024	29073
17742	11943
1166	2181
11120	11333
11852	9667
21756	16619
24878	24111
17076	21283
2956	2881
8690	6127
11420	11595
23544	22871
6144	8749
12112	12195
11646	11799
25846	19473
15258	12551
8150	7185
11216	11411
3378	13059
14024	13971
24930	24149
25596	24967
526	515
15572	25719
18164	15699
2958	3567
23962	23249
5128	4973
16386	19935
12954	10893
29542	29441
17476	22053
23296	22595
25448	22819
14086	14011
13872	13831
14002	16849
574	973
26746	19011
3812	4641
21584	20865
17786	14375
12976	15803
508	413
13524	16331
4156	7625
11886	3841
19338	18933
10930	6059
20734	20077
9844	8439
24228	28617
21738	16607
20934	20269
15206	24767
13658	16485
9170	7881
17298	27837
11778	14317
25858	15237
20190	19555
28434	27903
7000	11685
24852	28961
708	1147
5810	5435
1162	1087
14240	14125
26974	29077
24156	17621
19380	18969
21090	20415
26086	25401
23702	17413
8594	2501
14078	11597
11876	23109
23438	22733
14314	6439
7076	9753
22554	21835
27044	19541
13676	12985
4190	5063
27920	29001
12460	12601
21906	21167
28326	27759
26356	18651
12782	7157
21282	20613
3508	2989
4750	7087
20802	26683
19578	19175
292	351
8436	7399
8448	9095
27884	27225
22512	21789
24904	28983
22278	16881
3086	3293
19240	22299
10180	18643
354	353
1756	7301
20132	21261
23844	23149
18080	23479
17506	22137
16134	5479
14930	8313
1082	755
22638	21937
16276	15981
6178	7147
27674	20519
27440	26713
8170	10861
5324	6277
1112	593
16416	13327
21334	11265
23342	28165
25640	23311
10148	7047
18760	15229
17848	14421
2894	1911
4222	14009
7582	8399
20812	20151
20420	19737
3264	2395
8580	9193
17576	17215
1484	1489
23696	27467
23472	28253
18964	18601
28690	28235
11276	13815
12226	10297
19070	18705
348	521
8840	7657
12702	12795
7736	12549
15876	15749
2774	3639
28126	21425
26316	25603
11848	28319
18228	23773
15252	15163
1358	5275
26220	7041
19510	19117
16292	19829
8126	26095
10190	7083
23362	22659
5932	9543
23398	22695
8398	9053
7326	5323
27724	20631
29576	29473
15316	18407
6848	6209
13414	11117
20610	20053
9724	6779
27432	26701
10742	4109
10216	5597
216	157
1694	4201
2536	2907
3492	7505
25558	29411
6912	5091
17874	17467
15422	12659
13210	13175
27542	29537
3686	4465
25570	24947
26190	25493
26616	27871
19126	15495
17150	16781
29832	29009
20110	24215
18272	17837
29044	28667
22012	21313
24908	24131
18010	17577
25508	24895
14160	26381
11814	9897
12874	13025
10776	11509
6394	11087
15216	24809
9806	12445
28154	21495
14110	16937
9558	10037
18498	15053
24538	23753
28102	27465
4872	2899
8386	9035
23144	22413
24778	24037
3526	4247
11926	9993
19486	15657
21410	27337
1306	1201
